Entries|Source
['NETTAVROICC', 'MAQI', 'MUCCOI', 'TRENALUGGO']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=26._Donaghmore
['MAQI', 'CAIRATINI', 'AVI', 'INEQAGLAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=40._Painestown
['SEDANI', 'MAQI', 'CATTABBOTT', 'AVVI', 'DERCMASOC']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=46._Houseland
['CCI', 'MAQ', 'INI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=49._Baltinglass
['GIRAGNI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=69._Ahalisky_I
['CUNAGUSOS', 'MAQI', 'MUCOI', 'VIRAGNI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=70._Ahalisky_II
['COIMAGNI', 'MAQI', 'MOCOI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=71._Ahalisky_III
['TULENA', 'MUC', 'RAN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=79._Rathcanning_I
['LL', 'MAQI', 'VORRTIGURN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=97._Ballyhank_I
['SACATTINI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=99._Ballyhank_III
['AB', 'ULCCAGNI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=100._Ballyhank_IV
['MAQI', 'ESEA', 'MAQI', 'DOMANEQI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=101._Ballyhank_V
['DILOGONN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=102._Ballyhank_VI
['VEQREQ', 'MOQOI', 'GLUNLEGGET']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=118._Monataggart_I
['DALAGNI', 'MAQI', 'DALI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=119._Monataggart_II
